Area	Year	Species 	count 
Bundaberg	2011	Shark 	65
Bundaberg	2011	Turtle 	9
Bundaberg	2013	Shark 	76
Bundaberg	2013	Turtle 	1
Bundaberg	2015	Shark 	45
Bundaberg	2015	Turtle 	7
Bundaberg	2017	Shark 	54
Bundaberg	2017	Turtle 	0
Bundaberg	2019	Shark 	58
Bundaberg	2019	Turtle 	0
Bundaberg	2021	Shark 	73
Bundaberg	2021	Turtle 	0
Bundaberg	2023	Shark 	54
Bundaberg	2023	Turtle 	1
Cairns	2011	Shark 	91
Cairns	2011	Turtle 	2
Cairns	2013	Shark 	74
Cairns	2013	Turtle 	0
Cairns	2015	Shark 	116
Cairns	2015	Turtle 	0
Cairns	2017	Shark 	47
Cairns	2017	Turtle 	0
Cairns	2019	Shark 	43
Cairns	2019	Turtle 	0
Cairns	2021	Shark 	58
Cairns	2021	Turtle 	0
Cairns	2023	Shark 	66
Cairns	2023	Turtle 	0
Capricorn Coast	2011	Shark 	66
Capricorn Coast	2011	Turtle 	0
Capricorn Coast	2013	Shark 	116
Capricorn Coast	2013	Turtle 	4
Capricorn Coast	2015	Shark 	71
Capricorn Coast	2015	Turtle 	1
Capricorn Coast	2017	Shark 	41
Capricorn Coast	2017	Turtle 	0
Capricorn Coast	2019	Shark 	38
Capricorn Coast	2019	Turtle 	0
Capricorn Coast	2021	Shark 	144
Capricorn Coast	2021	Turtle 	3
Capricorn Coast	2023	Shark 	244
Capricorn Coast	2023	Turtle 	3
Gladstone	2011	Shark 	76
Gladstone	2011	Turtle 	0
Gladstone	2013	Shark 	59
Gladstone	2013	Turtle 	0
Gladstone	2015	Shark 	46
Gladstone	2015	Turtle 	0
Gladstone	2017	Shark 	45
Gladstone	2017	Turtle 	0
Gladstone	2019	Shark 	42
Gladstone	2019	Turtle 	1
Gladstone	2021	Shark 	34
Gladstone	2021	Turtle 	3
Gladstone	2023	Shark 	87
Gladstone	2023	Turtle 	5
Mackay	2011	Shark 	52
Mackay	2011	Turtle 	2
Mackay	2013	Shark 	84
Mackay	2013	Turtle 	1
Mackay	2015	Shark 	82
Mackay	2015	Turtle 	0
Mackay	2017	Shark 	55
Mackay	2017	Turtle 	0
Mackay	2019	Shark 	44
Mackay	2019	Turtle 	0
Mackay	2021	Shark 	93
Mackay	2021	Turtle 	0
Mackay	2023	Shark 	72
Mackay	2023	Turtle 	0
Townsville	2011	Shark 	164
Townsville	2011	Turtle 	1
Townsville	2013	Shark 	107
Townsville	2013	Turtle 	0
Townsville	2015	Shark 	139
Townsville	2015	Turtle 	2
Townsville	2017	Shark 	107
Townsville	2017	Turtle 	1
Townsville	2019	Shark 	82
Townsville	2019	Turtle 	2
Townsville	2021	Shark 	150
Townsville	2021	Turtle 	3
Townsville	2023	Shark 	179
Townsville	2023	Turtle 	0
